reaction,organism,lower_bound,upper_bound
EX_ac_e,acd1,-1000,1000
EX_but_e,acd1,-1000,1000
EX_lac__L_e,acd1,-1000,1000
EX_ac_e,btv5,-1000,1000
EX_lac__L_e,btv5,-1000,1000
EX_ppa_e,btv5,-1000,1000
EX_ac_e,bln,-1000,1000
EX_lac__L_e,bln,-1000,1000
EX_ac_e,bpd2,-1000,1000
EX_lac__L_e,bpd2,-1000,1000
EX_ac_e,cbd1,-1000,1000
EX_but_e,cbd1,-1000,1000
EX_lac__L_e,cbd1,-1000,1000
EX_ac_e,crv0d1,-1000,1000
EX_lac__L_e,crv0d1,-1000,1000
EX_ac_e,ecs,-1000,1000
EX_lac__L_e,ecs,-1000,1000
EX_ppa_e,ecs,-1000,1000
EX_ac_e,lpspa1,-1000,1000
EX_lac__L_e,lpspa1,-1000,1000
